Hex Data,Length,Entropy,Label
f67501000001000000000000026130057477696d6703636f6d0000010001,30,3.3050990021081765,1
f67581820001000000000000026130057477696d6703636f6d0000010001,30,3.5744183139072825,1
94f801000001000000000000026131057477696d6703636f6d0000010001,30,3.3050990021081765,1
94f881820001000000000000026131057477696d6703636f6d0000010001,30,3.5744183139072825,1
f79101000001000000000000026132057477696d6703636f6d0000010001,30,3.3050990021081765,1
f79181820001000000000000026132057477696d6703636f6d0000010001,30,3.5744183139072825,1
cd3101000001000000000000026133057477696d6703636f6d0000010001,30,3.3050990021081765,1
cd3181820001000000000000026133057477696d6703636f6d0000010001,30,3.5744183139072825,1
e6a501000001000000000000026134057477696d6703636f6d0000010001,30,3.3050990021081765,1
e6a581820001000000000000026134057477696d6703636f6d0000010001,30,3.5744183139072825,1
bbec01000001000000000000026135057477696d6703636f6d0000010001,30,3.3050990021081765,1
bbec81820001000000000000026135057477696d6703636f6d0000010001,30,3.5744183139072825,1
6613010000010000000000000173057477696d6703636f6d0000010001,29,3.076484847560432,1
6613818200010000000000000173057477696d6703636f6d0000010001,29,3.3676609624077924,1
dcd10100000100000000000004696374660263730475637362036564750000010001,34,3.4166206263334646,1
dcd18182000100000000000004696374660263730475637362036564750000010001,34,3.6542553132150286,1
c9b501000001000000000000026133057477696d6703636f6d0000010001,30,3.3050990021081765,1
c9b581820001000000000000026133057477696d6703636f6d0000010001,30,3.5744183139072825,1
fe4701000001000000000000037777770369666303636f6d0000010001,29,2.8730319327366343,1
fe4781820001000000000000037777770369666303636f6d0000010001,29,3.151638117356399,1
629b0100000100000000000008776562636163686511676f6f676c6575736572636f6e74656e7403636f6d0000010001,48,3.8836419115660084,1
90fc01000001000000000000037777770969666363656e74657203636f6d0000010001,35,3.427468079535331,1
629b8182000100000000000008776562636163686511676f6f676c6575736572636f6e74656e7403636f6d0000010001,48,4.0519664814404495,1
90fc81820001000000000000037777770969666363656e74657203636f6d0000010001,35,3.6583132039345645,1
ce470100000100000000000008776562636163686511676f6f676c6575736572636f6e74656e7403636f6d0000010001,48,3.925308578232675,1
ce478182000100000000000008776562636163686511676f6f676c6575736572636f6e74656e7403636f6d0000010001,48,4.093633148107116,1
554f010000010000000000000377777703696663036f72670000010001,29,2.9419974499780137,1
554f818200010000000000000377777703696663036f72670000010001,29,3.2206036345977784,1
bc2d01000001000000000000037777770869666366696c6d7303636f6d0000010001,34,3.2989735675099356,1
bc2d81820001000000000000037777770869666366696c6d7303636f6d0000010001,34,3.5366082543914996,1
48650100000100000000000003777777066966632d6e79036f72670000010001,32,3.3497301466508205,1
48658182000100000000000003777777066966632d6e79036f72670000010001,32,3.6022170014624826,1
573b01000001000000000000037777770c6d6f7669657469636b65747303636f6d0000010001,38,3.5424371106232226,1
573b81820001000000000000037777770c6d6f7669657469636b65747303636f6d0000010001,38,3.7550576199383063,1
db040100000100000000000002656e0977696b697065646961036f72670000010001,34,3.5342676851569936,1
db048182000100000000000002656e0977696b697065646961036f72670000010001,34,3.7719023720385576,1
750c010000010000000000000c6c6174696d6573626c6f6773076c6174696d657303636f6d0000010001,42,3.670450510600173,1
750c818200010000000000000c6c6174696d6573626c6f6773076c6174696d657303636f6d0000010001,42,3.862821447599534,1
673a0100000100000000000002656e0977696b697065646961036f72670000010001,34,3.4754441557452287,1
673a8182000100000000000002656e0977696b697065646961036f72670000010001,34,3.713078842626793,1
750f01000001000000000000047372763208676f72646d616e73036e65740000010001,35,3.642033079658957,1
750f81820001000000000000047372763208676f72646d616e73036e65740000010001,35,3.8728782040581904,1
b78701000001000000000000036e7470067562756e747503636f6d0000010001,32,3.2247301466508205,1
fdd30100000100000000000003777777066966632d6e79036f72670000010001,32,3.3497301466508205,1
fdd38182000100000000000003777777066966632d6e79036f72670000010001,32,3.6022170014624826,1
cc5c01000001000000000000047372763208676f72646d616e73036e65740000010001,35,3.642033079658957,1
cc5c81820001000000000000047372763208676f72646d616e73036e65740000010001,35,3.8728782040581904,1
9fe5010000010000000000000c6c6174696d6573626c6f6773076c6174696d657303636f6d0000010001,42,3.7180695582192205,1
9fe5818200010000000000000c6c6174696d6573626c6f6773076c6174696d657303636f6d0000010001,42,3.9104404952185816,1
eb6f01000001000000000000037777770f6a616d616963616f6273657276657203636f6d0000010001,41,3.6424688262887996,1
eb6f81820001000000000000037777770f6a616d616963616f6273657276657203636f6d0000010001,41,3.839531737361316,1
78fd01000001000000000000047372763207756e776972656407756e6f6d616861036564750000010001,42,3.89687372498891,1
6018010000010000000000000377777709626c6f6f6d6265726703636f6d0000010001,35,3.370325222392474,1
78fd81820001000000000000047372763207756e776972656407756e6f6d616861036564750000010001,42,4.089244661988271,1
6018818200010000000000000377777709626c6f6f6d6265726703636f6d0000010001,35,3.6011703467917076,1
0ff601000001000000000000077477697474657203636f6d0000010001,29,3.1059590879836505,1
0ff681820001000000000000077477697474657203636f6d0000010001,29,3.384565272603415,1
5f3f010000010000000000000377777709626c6f6f6d6265726703636f6d0000010001,35,3.370325222392474,1
5f3f818200010000000000000377777709626c6f6f6d6265726703636f6d0000010001,35,3.6011703467917076,1
04680100000100000000000004696374660263730475637362036564750000010001,34,3.3355945233286564,1
04688182000100000000000004696374660263730475637362036564750000010001,34,3.5732292102102208,1
52ad010000010000000000000377777709696e6469657769726503636f6d0000010001,35,3.334750579597144,1
52ad818200010000000000000377777709696e6469657769726503636f6d0000010001,35,3.5655957039963777,1
fb4b010000010000000000000674657265646f0469707636096d6963726f736f667403636f6d0000010001,43,3.8901310848181376,1
fb4b818200010000000000000674657265646f0469707636096d6963726f736f667403636f6d0000010001,43,4.078028279096584,1
721201000001000000000000037777770f73756e64616e63656368616e6e656c03636f6d0000010001,41,3.6608807165854693,1
721281820001000000000000037777770f73756e64616e63656368616e6e656c03636f6d0000010001,41,3.8579436276579857,1
5524010000010000000000000377777705616d63747603636f6d0000010001,31,3.1216596875748186,1
5524818200010000000000000377777705616d63747603636f6d0000010001,31,3.382291279638469,1
a0aa010000010000000000000c73706972697461776172647303636f6d0000010001,34,3.4976467293382725,1
a0aa818200010000000000000c73706972697461776172647303636f6d0000010001,34,3.7352814162198364,1
ec4d01000001000000000000037777770366736908696c6c696e6f6973036564750000010001,38,3.4699400710926063,1
ec4d81820001000000000000037777770366736908696c6c696e6f6973036564750000010001,38,3.6825605804076895,1
f619010000010000000000000377777705616d63747603636f6d0000010001,31,3.1216596875748186,1
f619818200010000000000000377777705616d63747603636f6d0000010001,31,3.382291279638469,1
344e010000010000000000000573746f7265056170706c6503636f6d06616b61646e73036e65740000010001,44,3.8784424638796335,1
344e818200010000000000000573746f7265056170706c6503636f6d06616b61646e73036e65740000010001,44,4.062069267379024,1
652d0100000100000000000004696374660263730475637362036564750000010001,34,3.3577970969216997,1
652d8182000100000000000004696374660263730475637362036564750000010001,34,3.595431783803264,1
e81f010000010000000000000872656c6561736573076d6f7a696c6c61036f726700001c0001,38,3.66060092629883,1
e81f818200010000000000000872656c6561736573076d6f7a696c6c61036f726700001c0001,38,3.8603207778330435,1
01d2010000010000000000001e6368616e67655f746869735f696e5f6574635f6972635f73657276657273097265647365637572650272750000010001,61,3.878455768468173,1
01d2818200010000000000001e6368616e67655f746869735f696e5f6574635f6972635f73657276657273097265647365637572650272750000010001,61,4.016883757493967,1
8ef701000001000000000000037777770a697066616f6e6c696e65036f72670000010001,36,3.536351798465263,1
8ef781820001000000000000037777770a697066616f6e6c696e65036f72670000010001,36,3.7607845582978516,1
561a0100000100000000000009636f6d6d756e6974790f66697265656e67696e656572696e6703636f6d0000010001,47,3.792702994078195,1
561a8182000100000000000009636f6d6d756e6974790f66697265656e67696e656572696e6703636f6d0000010001,47,3.964608937779752,1
fe1c01000001000000000000066578706f72740679616e6465780272750000010001,34,3.4976467293382725,1
fe1c81820001000000000000066578706f72740679616e6465780272750000010001,34,3.7352814162198364,1
b21d0100000100000000000006736f6369616c046d73646e096d6963726f736f667403636f6d0000010001,43,3.7909528869927795,1
b21d8182000100000000000006736f6369616c046d73646e096d6963726f736f667403636f6d0000010001,43,3.9788500812712257,1
9e680100000100000000000006736f6369616c046d73646e096d6963726f736f667403636f6d0000010001,43,3.7909528869927795,1
9e688182000100000000000006736f6369616c046d73646e096d6963726f736f667403636f6d0000010001,43,3.9788500812712257,1
1a8b0100000100000000000009636f6d6d756e6974790f66697265656e67696e656572696e6703636f6d0000010001,47,3.792702994078195,1
1a8b8182000100000000000009636f6d6d756e6974790f66697265656e67696e656572696e6703636f6d0000010001,47,3.964608937779752,1
15cb010000010000000000000b6d61726b6c696e646e657204696e666f0000010001,34,3.475444155745229,1
15cb818200010000000000000b6d61726b6c696e646e657204696e666f0000010001,34,3.713078842626793,1
2624010000010000000000000474616c6b06676f6f676c6503636f6d0000010001,33,3.3835263827774313,1
2624818200010000000000000474616c6b06676f6f676c6503636f6d0000010001,33,3.6283621207766186,1
2fd5010000010000000000000377777706696673696e63036f72670000010001,32,3.2872301466508205,1
2fd5818200010000000000000377777706696673696e63036f72670000010001,32,3.5397170014624826,1
59f50100000100000000000008746f7272656e74730573633274760272750000010001,35,3.484610936678188,1
59f58182000100000000000008746f7272656e74730573633274760272750000010001,35,3.7154560610774214,1
dcda0100000100000000000004696374660263730475637362036564750000010001,34,3.4166206263334646,1
dcda8182000100000000000004696374660263730475637362036564750000010001,34,3.6542553132150286,1
549b010000010000000000000872656c6561736573076d6f7a696c6c61036f72670000010001,38,3.5752032289873426,1
549b818200010000000000000872656c6561736573076d6f7a696c6c61036f72670000010001,38,3.787823738302426,1
c0de0100000100000000000004696374660263730475637362036564750000010001,34,3.4166206263334646,1
