label	text_a
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 c0
0	00 01 08 00 06 04 00 02 d0 52 a8 00 67 5e c0 a8 01 c4 14 cc 20 51 33 ea c0 a8 01 01
0	00 01 08 00 06 04 00 01 44 65 0d 56 cc d3 c0 a8 01 ef 00 00 00 00 00 00 c0 a8 01 01
0	00 01 08 00 06 04 00 02 d0 73 d5 01 83 08 c0 a8 01 76 14 cc 20 51 33 ea c0 a8 01 01
0	00 01 08 00 06 04 00 02 d0 52 a8 00 67 5e c0 a8 01 c4 14 cc 20 51 33 ea c0 a8 01 01
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 f8
0	00 01 08 00 06 04 00 02 14 cc 20 51 33 ea c0 a8 01 01 70 ee 50 18 34 43 c0 a8 01 f1
0	00 01 08 00 06 04 00 02 14 cc 20 51 33 ea c0 a8 01 01 70 ee 50 18 34 43 c0 a8 01 f1
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 df
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 df
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 c4
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 76
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 ec
0	00 01 08 00 06 04 00 02 d0 52 a8 00 67 5e c0 a8 01 c4 14 cc 20 51 33 ea c0 a8 01 01
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 98
0	00 01 08 00 06 04 00 02 70 ee 50 18 34 43 c0 a8 01 f1 14 cc 20 51 33 ea c0 a8 01 01
0	00 01 08 00 06 04 00 02 d0 52 a8 00 67 5e c0 a8 01 c4 14 cc 20 51 33 ea c0 a8 01 01
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 c4
0	00 01 08 00 06 04 00 02 70 88 6b 10 0f c6 c0 a8 01 98 14 cc 20 51 33 ea c0 a8 01 01
0	00 01 08 00 06 04 00 02 18 b7 9e 02 20 44 c0 a8 01 78 14 cc 20 51 33 ea c0 a8 01 01
0	00 01 08 00 06 04 00 02 14 cc 20 51 33 ea c0 a8 01 01 ec 1a 59 79 f4 89 c0 a8 01 df
0	00 01 08 00 06 04 00 02 14 cc 20 51 33 ea c0 a8 01 01 44 65 0d 56 cc d3 c0 a8 01 ef
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 f8
0	00 01 08 00 06 04 00 02 70 88 6b 10 0f c6 c0 a8 01 98 14 cc 20 51 33 ea c0 a8 01 01
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 df
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 f1
0	00 01 08 00 06 04 00 01 ec 1a 59 83 28 11 c0 a8 01 c1 00 00 00 00 00 00 c0 a8 01 01
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 78
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 76
0	00 01 08 00 06 04 00 02 ec 1a 59 83 28 11 c0 a8 01 c1 ec 1a 59 79 f4 89 c0 a8 01 df
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 76
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 76
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 98
0	00 01 08 00 06 04 00 01 14 cc 20 51 33 ea c0 a8 01 01 00 00 00 00 00 00 c0 a8 01 78
